地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
2.08,15.701,0,66.078,5.79,10.607,200.208,123.5,53.362
2.395,10.439,0,66.767,6.677,17.438,183.168,143.7,110.667
2.702,10.51,60.2,68.872,7.356,21.057,150.864,133.15,116.042
3.002,8.229,41.3,70.8,6.663,25.49,110.304,151.15,36.108
2.5,30.181,360.4,81.483,6.621,27.804,107.808,170.8,71.841
1.777,47.739,214.7,86.761,3.93,25.126,146.496,127,100.952
1.617,26.94,86.5,79.5,5.463,22.125,104.256,64.85,43.049
1.795,22.023,0,76.422,4.569,15.793,76.752,52.7,16.703
2.018,20.217,0,72.1,5.737,10.713,144.576,68.5,19.216
2.117,19.787,0,75.511,2.456,3.607,164.832,38.5,12.012
2.093,18.112,0,67.622,4.809,0.663,55.728,34.1,10.261
2.32,16.75,0,69.578,3.9,1.228,186.816,41.4,14.837
2.56,17.514,0,57.078,6.219,8.879,185.04,114.55,52.029
2.738,11.777,0,64.8,7.893,17.523,150.912,149.45,115.525
2.88,9.329,27.7,69.733,5.949,20.738,135.744,122.25,104.084
3.202,8.743,166.2,62.7,7.017,27.762,110.88,149.4,37.387
3.1,26.286,171.8,81.239,4.02,27.346,118.32,115.35,60.296
2.718,22.772,84,83.444,4.941,25.753,119.808,83.1,116.355
2.677,26.373,95,82.9,3.537,22.198,115.488,86.7,39.18
2.487,38.255,0,76.861,4.673,16.371,96.624,43.75,18.769
2.633,21.417,0,67.167,5.283,12.272,105.696,64.2,19.472
2.913,17.788,0,51.533,5.219,2.559,151.392,55.8,15.886
2.963,19.598,0,77.35,3.108,0.908,140.784,23.8,10.547
2.85,18.954,0,68.467,4.083,4.098,174.816,55.1,17.662
2.905,18.218,0,53.928,7.589,11.734,157.776,134.8,60.79
3.045,14.79,0,68.633,6.617,16.7,135.648,144.25,103.405
3.183,12.694,99.4,67.422,6.71,21.413,136.752,157.55,114.02
3.473,9.949,114.3,60.8,7.807,27.025,98.784,169.75,34.422
3.105,35.076,278,80.783,3.881,27.828,79.248,172.25,61.353
2.722,21.385,50,78.872,6.153,27.367,82.08,140.3,127.52
2.612,20.397,68.9,78.4,4.137,21.323,48.096,64.2,37.737
2.768,15.099,0,72.256,5.048,19.694,68.256,58.3,20.611
2.715,12.462,0,68.9,4.223,11.072,139.104,63.4,19.054
2.825,17.16,0,72.017,3.972,3.784,126.528,34.6,12.381
2.785,13.006,0,60.539,4.97,2.523,130.896,42.3,15.617
2.688,10.054,0,68.211,4.601,8.067,147.36,54.1,19.448
2.633,18.611,0,66.739,4.923,10.173,162.864,90.35,48.427
2.668,15.324,0,61.267,7.26,16.482,131.328,136.65,105.119
2.928,11.795,77.3,61.156,7.505,23.131,119.664,182,124.216
3.388,9.096,108,70.867,5.103,25.777,90.72,121.1,29.525
2.8,23.043,350,84.939,3.626,26.097,78.144,108.85,59.146
2.158,26.535,96.5,81.628,3.712,27.33,113.376,140.55,107.33
2.295,17.837,11.2,73.467,4.597,22.578,90.72,77.1,42.988
2.482,14.043,0,70.261,3.089,16.862,96.768,30.5,16.517
2.598,17.867,0,65.933,4.917,10.025,105.12,46.1,18.109
2.545,12.498,0,71.8,2.29,4.681,134.832,30.3,12.416
2.623,12.933,0,66.222,2.432,-0.384,140.928,26.1,11.003
2.607,13.25,0,53.992,6.468,3.455,128.376,52.8,20.648
2.478,13.873,0,53.778,6.418,12.471,144.48,115.9,56.674
2.54,25.08,0,68.167,5.597,16.228,99.36,115,93.56
2.655,32.778,83.4,66.378,7.776,22.376,95.952,174.4,116.503
2.865,23.17,89.2,73.867,5.587,24.94,93.312,155.7,30.698
2.977,35.591,186.8,88.172,2.796,26.484,98.736,148,52.877
2.662,21.841,156.2,84.472,5.831,26.847,90.672,116.55,117.456
2.232,25.287,175,81.133,4.137,22.233,100.8,72.7,41.285
1.955,20.328,0,74.211,3.622,17.69,71.904,53.1,17.448
2.037,31.867,0,66.933,4.717,10.743,93.6,56.8,17.558
2.162,30.533,0,55.517,5.033,4.375,133.872,57.5,15.897
2.33,20.287,0,50.139,4.936,2.1,128.976,57.4,16.342
2.468,11.601,0,78.867,2.614,6.759,145.44,50.1,15.79
2.422,17.675,0,70.45,4.674,10.141,174.672,106.3,45.078
2.438,25.783,0,70.733,6.367,16.135,99.36,91.65,95.306
2.402,19.229,115.4,71.294,6.163,20.886,97.392,101.25,106.717
2.5,12.903,50.8,68.933,6.453,27.58,64.512,139.2,34.923
2.545,18.96,213.3,81.083,5.221,27.711,81.072,118.05,65.351
2.48,19.425,90.2,82.944,4.312,26.577,95.616,106.6,107.731
2.415,17.88,83.5,84.333,2.67,21.727,81.216,62.5,32.276
2.325,12.936,0,60.717,4.934,19.928,85.488,48.55,21.394
2.248,16.323,0,78.7,3.963,5.718,143.712,44.1,14.659
2.158,19.183,0,66.55,3.708,3.868,125.28,38.2,13.171
2.195,15.353,0,52.556,4.296,2.38,137.76,49.7,18.356
2.312,15.921,0,71.322,2.327,5.114,159.936,39.5,25.005
2.36,22.522,0,66.622,3.749,8.855,186.96,97.4,53.29
2.318,20.573,0,63.933,5.927,13.875,150.048,98.5,97.03
2.24,24.127,140.9,69.733,5.651,21.154,90.288,106.4,116.146
2.313,18.342,43.6,64.133,6.41,26.368,86.976,97.2,38.668
2.478,24.002,123.1,80.117,4.054,28.446,68.16,91.45,82.778
2.5,33.403,141.7,80.333,5.327,27.506,69.504,95.25,148.964
2.275,56.69,168.3,80.533,2.373,22.69,91.872,67.4,55.778
2.062,32.628,0,61.972,5.065,17.64,95.328,53.1,25.105
2.267,25.317,0,50.967,6.93,12.323,102.528,81.2,22.218
2.34,21.647,0,44.033,4.972,6.289,158.4,69,19.868
2.373,19.351,0,37.844,4.009,-0.04,108.288,42.6,13.942
2.538,13.432,0,55.8,2.627,4.845,129.984,50.2,22.418
2.515,25.957,0,45.3,6.703,10.134,127.392,103.95,50.583
2.675,11.905,0,49.833,7.907,16.993,119.52,145.3,108.213
2.788,21.839,100.9,63.033,6.039,20.833,91.056,114.6,121.044
3.215,8.35,41.8,62.067,4.87,27.025,85.248,112.4,37.822
3.525,11.087,34.6,72.411,5.657,28.475,68.64,107.3,82.718
3.315,25.047,206.9,80.061,4.221,26.096,68.16,115.15,143.263
2.768,42.071,128.3,80.633,1.717,20.177,71.712,52,52.661
3.008,33.608,0,68.906,3.512,17.437,76.128,42.25,23.55
2.783,38.01,0,74.6,2.413,10.935,121.824,44.1,28.595
2.65,33.565,0,65.511,3.966,2.82,103.392,33,16.414
