地下水埋深,扶沟站径流,练寺雨量站降水量(mm),平均相对湿度%,日照时数h,平均气温℃,平均风速(km/d),小蒸发皿(mm),作物需水量（mm）
2.747,1.649,0,72,4.147,17.67,158.4,46.3,6.21
2.993,1.322,0,82.711,3.826,16.182,89.472,31.8,11.285
3.037,9.234,0,73.467,4.767,10.43,119.808,30.9,9.336
3.09,8.965,0,64.133,4.927,8.627,95.616,30.8,8.575
3.073,10.225,0,83,0.987,1.623,220.608,10.1,4.598
2.95,10.242,0,71.711,3.871,1.241,140.448,15,5.746
2.953,9.508,0,67.8,5.207,6.313,176.256,25.3,8.419
3.033,7.533,0,62.656,4.216,3.244,140.448,28,8.116
3.083,7.457,0,54.867,4.52,7.517,155.52,47,11.704
3.173,0.522,0,72.133,4.049,8.883,145.92,32,10.179
3.247,0.477,0,73.267,4.887,10.467,180.864,50,18.069
3.32,1.366,0,68.844,6.593,13.998,172.608,76.95,35.153
3.2,0,0,69.467,7,16.553,180.864,74.05,48.996
3.18,0,0,75.333,3.5,14.513,167.616,48.55,43.874
3.177,3.112,122.3,87.667,3.487,16.82,177.408,55.15,44.695
3.09,7.478,10.9,72.256,8.344,21.709,114.24,64.25,44.215
3.187,1.077,5.3,58.467,8.46,27.923,135.936,78.2,9.193
3.197,7.11,100.7,77.667,5.187,25.983,148.608,70.1,22.502
3.807,6.634,1.6,75.667,8.2,28.637,98.496,105.65,37.101
3.453,14.131,144.5,84.856,4.203,26.589,129.024,88,32.717
3.053,9.615,11.3,80.8,6.173,26.423,112.896,65.65,72.875
2.877,12.543,70.5,86.5,5.776,26.252,85.728,88.4,44.4
2.94,0.723,34.2,79.867,5.507,22.787,190.08,62.9,30.094
3.06,13.037,6.8,75.2,6.707,20.32,105.984,44.15,13.399
3.12,0.284,0,65.267,6.687,19.757,80.64,65,6.558
3.18,2.847,0,78.089,2.876,11.949,162.432,32.95,10.699
3.223,2.233,0,61.2,5.887,11.03,137.664,46.9,12.068
3.27,3.843,0,73.267,4.473,6.627,144,27.8,7.931
3.213,10.815,0,93.133,1.2,3.397,158.976,6.5,3.73
3.277,7.865,0,81.489,2.793,0.516,205.92,14.2,4.536
3.013,0.843,0,58.133,6.327,1.657,149.184,23.6,7.845
3.17,1.074,0,74.356,3.89,2.856,182.688,24.3,7.672
3.147,3.879,0,76,4.68,2.5,150.336,24.05,7.404
3.153,6.191,0,81.422,2.742,6.77,162.624,22.3,7.706
3.15,6.669,0,77.6,2.427,5.793,212.544,29.1,12.744
3.17,1.938,0,70.5,6.358,11.756,180.48,71.15,32.646
3.147,0.937,0,68.6,5.093,13.523,214.848,48.65,41.669
3.11,2.155,0,79.667,5.02,16.52,149.76,60.95,50.368
3.137,11.497,56.2,82.4,4.073,18.883,148.608,66.45,50.558
3.18,6.414,0,71.744,7.088,22.036,90.72,69.5,41.939
3.223,0.055,39.6,66.133,6.64,24.697,131.328,78.3,7.747
3.123,6.501,298,78.6,5.22,25.903,103.104,85.85,22.111
2.82,22.9,63.5,89.6,3.04,23.693,100.224,50.5,22.578
2.243,19.363,54.1,86.956,6.076,27.984,96.096,70.05,40.259
1.873,12.538,93.8,87.733,2.733,26.147,112.32,28.5,54.463
1.65,32.583,253,92.233,1.811,23.861,124.896,46.45,31.015
1.343,68.753,49.9,90.467,3.653,21.887,79.488,43,22.502
1.183,27.073,35.9,82.867,5.013,22.333,137.664,27.5,12.8
1.003,53.02,0,87.4,2.14,14.587,160.704,19.05,4.917
0.857,44.44,0,69.1,7.124,15.93,90.72,36.8,15.33
0.88,33.727,0,78.8,4.32,9.84,196.416,30.3,9.231
1.13,25.073,0,81.8,2.747,7.057,167.616,18.7,6.519
1.187,21.747,0,86.467,0.86,1.977,149.184,9.1,4.039
1.287,19.469,0,63.789,5.694,4.346,148.992,26.2,7.877
1.417,20.187,0,72.4,2.94,4.33,163.584,20.8,6.56
1.643,14.757,0,64.1,6.099,0.966,158.112,21.3,7.819
1.787,13.281,0,46.733,6.973,6.147,182.016,46.3,13.298
1.86,16.375,0,67.017,5.023,10.663,190.656,41.2,12.49
1.96,14.831,0,60.733,7.493,9.973,218.304,72.8,23.834
2.2,16.57,0,71.422,4.087,11.241,182.112,50.7,29.528
2.28,11.986,0,63.667,6.833,15.747,183.744,58.35,48.033
2.51,8.891,0,69.867,6.52,19.13,182.592,85.35,62.634
2.59,12.188,50.1,75.333,6.4,19.683,133.056,63.95,62.432
2.813,8.831,10.1,62.411,8.312,22.431,168.672,69.2,53.61
2.973,5.658,28.5,69.4,5.033,22.843,121.536,57,4.869
3.03,10.799,12.8,72.2,8.293,28.137,99.072,94.15,31.239
3.047,8.171,73.5,75.8,7.793,27.96,99.648,107.1,35.469
1.953,52.192,286.9,87.167,5.448,27.647,115.968,63.7,36.372
1.893,39.213,140.2,87.4,3.593,26.73,177.984,68,62.253
1.66,56.266,74.5,86.122,4.267,23.523,115.008,59,38.698
1.593,26.407,13.1,78.333,6.273,23.1,107.136,37.9,29.26
1.64,27.473,73.4,80.667,4.653,21.15,101.376,26.95,13.79
1.713,24.387,0,75.467,5.607,16.88,72,33.45,5.464
1.877,19.66,0,77.378,3.531,14.705,81.504,19.25,11.239
1.953,21.633,0,71.667,5.227,13.027,129.6,37.5,10.485
2.083,18.8,0,72.533,6.247,8.4,159.552,31,8.731
2.163,20.68,0,74.467,3.64,7.403,180.288,23.6,7.402
2.07,18.893,0,76.556,1.272,-0.189,149.376,14.9,4.61
2.06,17.633,0,69.467,5.24,-0.387,46.656,13.3,4.322
2.127,18.59,0,65.778,4.379,1.713,64.8,20.8,5.939
2.207,16.82,0,73.467,2.36,-0.48,178.56,14.4,6.113
2.433,16.68,0,65.689,5.44,2.937,195.072,27,8.723
2.53,18.393,0,53.267,6.733,7.34,199.872,60.4,20.485
2.59,16.636,0,60.889,5.704,10.418,170.208,54.15,31.544
2.687,13.66,0,63.533,7.4,14.913,175.68,78.05,47.822
2.79,9.894,0,66.067,8.387,20.133,126.144,71.4,67.703
2.85,6.255,8.6,71.133,5.747,19.407,164.16,67.65,61.866
2.91,12.403,19.1,68.333,6.151,22.069,107.328,54.6,42.217
3.17,6.22,25.8,60.333,6.627,26.45,103.68,70.15,7.616
3.233,11.265,140.4,65.067,7.407,29.073,118.08,79.25,29.772
3.247,20.153,58.2,79.533,4.72,26.647,101.376,57.45,28.936
2.953,32.418,113.6,82.944,3.32,28.045,135.264,57.9,31.36
2.733,28.027,2,82.133,6.44,28.637,135.36,39.95,78.608
2.703,17.518,82,84.756,3.441,22.868,104.256,43.15,37.747
2.69,26.713,25.8,79.267,5.407,23.803,114.048,64.4,28.758
2.663,26.033,69.2,86.533,1.667,20.593,116.928,22.3,10.422
2.51,51.94,0,79.6,4.093,17.503,96.768,21.7,5.681
2.463,24.57,0,74.122,5.253,15.238,96.48,22.05,13.088
2.523,23.32,0,72.333,4.833,15.067,99.072,30.1,10.087
2.743,19.513,0,62,5.733,9.477,112.32,34.1,9.385
2.88,20.52,0,50.8,5.813,2.27,148.032,28,7.807
2.947,15.056,0,52.267,4.624,2.847,154.752,27.8,8.078
2.977,17.853,0,72,3.673,1.473,129.6,13.3,5.402
2.95,21.342,0,82.7,2.542,0.343,151.968,10.5,5.145
2.86,18.733,0,74.267,3.86,3.397,158.976,22.3,7.881
2.84,19.176,0,62.667,4.307,4.8,190.656,32.8,9.781
2.873,19.107,0,58.333,6.7,9.643,160.704,47.5,20.416
2.937,17.329,0,49.522,8.479,13.824,154.848,87.3,40.373
2.997,16.557,0,68.533,6.04,15.76,143.424,61.35,43.331
3.093,13.024,0,68.733,7.193,17.64,127.872,82.9,60.074
3.15,13.053,79.2,70.467,5.247,19.943,141.12,65,60.57
3.217,12.335,20.2,64.378,8.173,22.882,132.384,92.55,53.451
3.363,6.513,13.6,53.267,8.193,26.117,93.888,74.1,7.366
3.583,13.385,100.7,68.333,7.42,27.933,103.68,95.65,27.056
3.327,48.82,156.1,79.8,5.087,28.42,70.272,71.8,30.126
2.883,21.331,121.9,81.767,2.674,27.236,88.224,100.45,31.226
2.783,26.1,33,80.933,6.527,28.143,75.456,90.5,76.389
2.66,16.671,17,76.811,5.779,26.59,88.704,49.8,51.13
2.613,24.7,50.7,80.067,4.52,20.647,41.472,37.85,23.132
2.61,16.093,18.2,76.733,3.753,22,54.72,26.35,14.604
2.673,16.953,0,74.667,5.893,21.72,27.648,32.35,6.62
2.863,13.246,0,69.844,4.203,17.668,108.864,25.95,13.99
2.65,9.79,0,54,7.273,14.683,115.2,51.1,13.48
2.78,15.133,0,83.8,1.173,7.46,163.008,12.3,5.575
2.817,17.12,0,72.6,3.9,4.073,138.24,17.7,6.174
2.833,17.2,0,71.433,4.044,3.495,114.816,16.9,6.207
2.803,13.693,0,61.867,4.24,1.18,142.272,16.3,6.479
2.767,12.319,0,59.211,5.7,3.867,119.52,26,9.138
2.707,12.151,0,60.333,5.2,7.013,133.632,29.8,10.241
2.67,7.958,0,76.089,4.002,9.121,161.088,24.3,9.206
2.657,19.185,0,66.933,3.973,6.703,184.32,27.35,14.78
2.61,18.037,0,66.544,5.873,13.643,141.408,63,33.647
2.647,14.929,0,58.733,7.6,14.887,141.696,66.25,46.105
2.69,15.72,0,63.8,6.92,18.077,120.96,70.4,59.014
2.767,12.331,0.6,62.533,8,21.013,125.568,88.8,73.837
3.09,11.259,76.7,59.778,7.01,25.249,113.76,93.2,50.38
3.28,11.061,0,64.733,5.187,25.423,86.976,65.15,6.97
3.497,7.132,108,77,5.02,26.13,94.464,55.95,22.555
3.49,15.923,275.9,83.8,3.453,25.733,86.976,53.55,25.221
2.11,30.163,74.1,86.078,3.798,26.461,69.312,55.3,33.925
2.113,36.613,59.1,81.333,4.4,28.06,85.248,70.6,65.978
2.203,16.456,37.4,81.922,3.024,26.601,141.504,69.95,41.352
2.267,20.893,6.3,77.2,4.927,23.273,59.904,35.75,26.483
2.323,14.78,4.9,69.733,4.267,21.883,121.536,41.35,16.505
2.37,13.073,0,73.2,1.707,18.047,124.416,8.55,3.84
2.593,15.013,0,67.322,4.471,15.678,69.12,21.95,12.678
2.627,16.84,0,62.4,4.94,12.073,106.56,24.6,10.506
2.57,18.893,0,69.467,4.893,7.977,103.68,21.5,7.602
2.55,13.097,0,69.2,2.587,5.21,131.904,16.8,6.406
2.54,11.898,0,74.4,1.993,4.152,137.76,13.5,6.009
2.553,11.887,0,63.467,3.56,1.777,142.272,13.8,5.924
2.693,13.98,0,68.978,1.303,-2.544,139.584,12.3,5.079
2.643,13.72,0,56.6,6.393,0.757,97.344,17.5,8.026
2.57,12.78,0,51.383,6.542,6.153,159.408,35.3,12.622
2.513,11.791,0,51.533,7.213,12.057,147.456,54.75,23.392
2.443,15.956,0,56.022,5.623,12.886,141.504,61.15,33.281
2.477,23.153,0,71.2,3.707,15.013,97.344,50.95,34.414
2.603,27.007,0,65.133,7.487,17.443,101.376,64.05,59.146
2.65,29.92,37.6,68.867,8.22,20.537,119.232,79.85,70.916
2.66,35.636,45.8,63.889,7.331,24.216,72.672,94.55,45.587
2.713,26.513,19.4,65.667,6.147,24.607,100.8,86.9,6.975
3.017,19.826,69.8,82.067,5.027,25.273,85.824,68.8,23.722
3.09,22.067,95.7,88,2.56,27.187,81.792,74.1,23.805
2.863,49.116,91.1,88.344,3.031,25.781,115.68,73.9,29.073
2.753,20.627,46.3,83.533,6.1,28.31,80.064,55.45,73.431
2.57,23.056,109.9,85.411,5.562,25.384,101.28,61.1,44.025
2.35,18.815,125.5,78.4,6.88,23.947,85.248,53.1,30.701
2.113,31.76,49.5,83.867,1.393,20.52,116.352,19.6,10.585
1.967,22.2,0,73.4,4.027,18.91,61.632,33.35,6.042
1.943,18.456,0,75.022,3.217,16.469,82.176,19.75,11.406
2.01,28.527,0,78.533,3.48,12.793,73.728,22.5,8.225
2.063,35.207,0,55.333,5.953,8.693,113.472,34.3,9.333
2.103,33.26,0,58,5.293,6.333,141.696,30.9,8.561
2.22,27.806,0,53.033,4.772,2.417,126.048,26.6,7.336
2.3,22.765,0,54.467,4.727,0.637,110.016,21.4,6.241
2.36,17.808,0,45.811,5.144,3.564,147.936,36,10.101
2.447,8.016,0,77.667,3.24,8.953,140.544,30.4,9.088
2.49,15.187,0,80.067,1.989,4.564,150.336,19.7,6.703
2.41,16.413,0,69.6,4.493,7.923,173.952,38.3,16.593
2.433,18.936,0,71.3,4.854,12.359,175.392,68,28.485
2.423,28.007,0,69.467,6.513,15.617,104.832,43.95,43.533
2.453,23.56,0,72,6.22,16.653,93.888,47.7,51.773
2.45,15.216,94.9,70.4,6.12,20.577,114.624,43.6,64.483
2.353,23.241,20.5,72.189,6.207,21.196,80.16,57.65,42.234
2.37,15.427,12.6,68.133,6.947,26.29,63.36,80.75,7.475
2.63,10.378,38.2,69.733,5.96,28.87,65.664,58.45,27.448
2.66,22.227,193.5,81.333,4.873,27.21,63.936,53.95,28.476
2.43,15.692,19.8,80.833,5.569,28.213,98.208,64.1,36.875
2.447,17.472,8.6,82.933,4.44,27.31,92.16,63.55,65.318
2.513,21.378,81.6,82.956,4.183,25.844,99.072,43.05,42.413
2.48,15.827,14.4,85.133,2.433,21.803,85.824,19.55,21.672
2.35,19.933,69.1,83.533,2.907,21.65,76.608,42.95,10.603
2.317,14.113,0,69.467,3.913,20.247,86.4,22.25,5.378
2.333,11.758,0,51.967,5.956,19.608,84.576,26.3,16.016
2.277,14.419,0,78.2,3.84,7.577,166.464,25.4,8.708
2.22,18.228,0,79.2,4.087,3.86,120.96,18.7,5.952
2.187,19.093,0,74.667,1.887,5.14,124.992,18.1,5.842
2.13,19.272,0,58.433,5.53,2.597,125.568,20.1,7.329
2.167,15.82,0,50.533,3.907,0.047,148.608,23.9,8.066
2.223,14.886,0,54.578,4.684,4.713,126.912,25.8,10.291
2.28,16.8,0,75.333,0.567,1.937,158.4,14.1,12.491
2.343,15.042,0,67.311,4.087,8.291,161.472,25.4,12.514
2.367,24.96,0,69.6,3.127,5.37,194.112,36.15,19.176
2.353,20.083,0,63.644,4.371,12.34,179.808,61.25,34.114
2.327,17.467,0,61.8,5.773,12.527,172.224,37.4,40.931
2.31,23.68,0,66.067,6.08,15.223,127.872,61.1,56.099
2.28,22.64,125.3,67.333,6.04,20.387,103.68,50.4,69.731
2.2,25.614,15.6,72.133,5.261,21.922,76.896,56,46.414
2.203,21.047,43.6,66.6,6.053,23.803,85.248,46.8,7.634
2.423,15.637,0,61.667,6.767,28.933,88.704,50.4,31.035
2.497,18.685,61.8,77.267,2.933,28.803,65.088,40.35,36.753
2.46,29.319,61.3,82.967,5.176,28.088,71.232,51.1,46.025
2.49,26.813,37.5,79.667,5.267,29.64,65.664,53.25,88.771
2.51,39.993,104.2,81,5.387,25.373,73.344,42,60.193
2.457,68.66,148.1,83.333,1.467,24.33,80.064,37.9,35.993
2.093,44.72,20.2,77.733,3.28,21.05,103.68,29.5,19.785
1.987,32.567,0,61.867,5.133,20.06,61.056,32.8,7.503
2.137,32.689,0,62.078,4.997,15.219,129.6,20.3,17.603
2.247,31.647,0,48.533,6.64,13.677,104.832,47.3,12.874
2.287,18.987,0,53.4,7.22,10.97,100.224,33.9,9.344
2.32,23.313,0,45.8,4.133,7.993,160.704,35.1,11.393
2.36,19.98,0,42.267,5.811,4.586,156.096,33.9,8.475
2.363,19.483,0,36.6,3.893,-0.32,111.168,22.3,6.516
2.383,19.219,0,39.089,4.126,0.241,105.408,20.3,7.426
2.497,7.574,0,50.2,3.013,3.863,111.744,24.4,10.453
2.58,19.29,0,61.4,2.24,5.827,148.224,25.8,11.965
2.567,29.86,0,52.067,6.053,8.927,123.84,50.2,19.268
2.463,22.054,0,38.533,7.353,11.342,130.944,53.75,31.314
2.53,12.231,0,54.333,7.407,14.387,127.296,46.25,45.305
2.82,11.579,0,45.333,8.407,19.6,111.744,99.05,62.908
2.86,25.921,68.7,62.6,6.933,20.073,89.856,56.8,71.387
2.717,17.756,32.2,63.467,5.146,21.593,92.256,57.8,49.657
3.077,10.621,0,55,5.133,27.283,83.52,63.95,8.406
3.353,6.078,41.8,69.133,4.607,26.767,86.976,48.45,29.417
3.46,9.153,18.4,70.4,5,28.373,71.424,43.7,36.104
3.59,13.021,16.2,74.422,6.314,28.577,65.856,63.6,46.614
3.56,27.212,158.4,81,4.633,27.157,48.384,57.75,83.754
3.07,22.882,48.5,79.122,3.808,25.034,87.936,57.4,59.509
2.76,25.775,74.4,85.267,0.947,21.04,77.76,28.95,35.306
2.777,58.367,53.9,76,2.487,19.313,65.664,23.05,17.355
2.99,37.967,0,69.467,3.2,18.92,77.76,22.2,7.105
3.027,29.25,0,68.344,3.824,15.953,74.496,20.05,16.445
2.827,34.313,0,76.2,2.947,13.14,95.616,23.4,15.039
2.74,41.707,0,73,1.88,8.73,148.032,20.7,13.556
2.73,40.467,0,69.067,4.4,3.033,117.504,17.9,8.57
2.57,26.663,0,61.956,3.531,2.607,89.28,15.1,7.844
